IGRP,PLANT_NAME,SITE_NAME,PLANT_CODE,EMM_REGION,FuelRegion,STATE,LAT,LON,UNIT_ID,ECPT,SCAP,HeatRate,CF,R_CO2,CO2_EMIS,CAP_COST,VAR_COST,ACTIVE,SOURCE_TYPE,OGSM_Region
1273,Muscatine Plant #1,CAP_GEN_P1167,1167,3,8,IA,41.39,-91.05,9,C4,160.8,8800,0.56,0.9,1.14,550.79,9.22,,GEN,3
97,West Phoenix,CAP_GEN_P117,117,20,21,AZ,33.44,-112.15,3B,EC,820,10307,0.34,0.9,3.93,174.78,3.46,,GEN,5
1323,Riverton,CAP_GEN_P1239,1239,18,9,KS,37.07,-94.69,12,EC,266,7328,0.51,0.9,0.9,9999,9999,,GEN,3
1330,La Cygne,CAP_GEN_P1241,1241,18,9,KS,38.34,-94.64,1,B5,757.8,10861,0.5,0.9,6.65,2906.37,7.44,,GEN,3
1334,La Cygne,CAP_GEN_P1241,1241,18,9,KS,38.34,-94.64,2,B5,668.8,10639,0.51,0.9,5.75,4404.38,7.41,,GEN,3
1344,Lawrence Energy Cent,CAP_GEN_P1250,1250,18,9,KS,39,-95.26,4,B3,111.3,11672,0.56,0.9,1.05,380.02,10.93,,GEN,3
1346,Lawrence Energy Cent,CAP_GEN_P1250,1250,18,9,KS,39,-95.26,5,B3,374,11195,0.53,0.9,3.38,809.7,7.65,,GEN,3
114,Cross,CAP_GEN_P130,130,14,13,SC,33.37,-80.11,1,C7,580,10540,0.5,0.9,4.94,1014.13,6.93,,GEN,1
115,Cross,CAP_GEN_P130,130,14,13,SC,33.37,-80.11,2,C7,565,10506,0.5,0.9,4.8,1065.92,6.79,,GEN,1
116,Cross,CAP_GEN_P130,130,14,13,SC,33.37,-80.11,3,C7,610,9982,0.53,0.9,4.92,1049.9,6.78,,GEN,1
1533,Shawnee,CAP_GEN_P1379,1379,16,16,KY,37.15,-88.77,4,B7,134,11417,0.5,0.9,1.23,424.62,10.35,,GEN,1
1535,Shawnee,CAP_GEN_P1379,1379,16,16,KY,37.15,-88.77,5,B7,134,11503,0.56,0.9,1.24,424.98,10.34,,GEN,1
