"IGRP","PLANT_NAME","SITE_NAME","PLANT_CODE","EMM_REGION","FuelRegion","STATE","LAT","LON","UNIT_ID","ECPT","SCAP","HeatRate","CF","R_CO2","CO2_EMIS","CAP_COST","VAR_COST","ACTIVE","SOURCE_TYPE","HR_ADJ"
1766.00,"J H Campbell","CAP_GEN_P1710",1710.00,5.00,5.00,"MI",42.91,-86.20,"1","B7",260.00,10355.00,0.54,0.90,2.17,617.02,8.65,,"GEN",
1768.00,"J H Campbell","CAP_GEN_P1710",1710.00,5.00,5.00,"MI",42.91,-86.20,"2","B7",328.00,10435.00,0.50,0.90,2.76,744.51,7.94,,"GEN",
1771.00,"J H Campbell","CAP_GEN_P1710",1710.00,5.00,5.00,"MI",42.91,-86.20,"3","B7",841.39,10236.00,0.72,0.90,6.96,1477.48,7.17,,"GEN",
1817.00,"Monroe (MI)","CAP_GEN_P1733",1733.00,5.00,5.00,"MI",41.89,-83.34,"1","C7",758.00,10317.00,0.55,0.90,6.32,1097.79,6.71,,"GEN",
1819.00,"Monroe (MI)","CAP_GEN_P1733",1733.00,5.00,5.00,"MI",41.89,-83.34,"2","C7",773.00,10284.00,0.52,0.90,6.42,1441.89,7.47,,"GEN",
1821.00,"Monroe (MI)","CAP_GEN_P1733",1733.00,5.00,5.00,"MI",41.89,-83.34,"3","C7",773.00,10385.00,0.58,0.90,6.49,1439.62,7.47,,"GEN",
175.00,"Thomas Fitzhugh","CAP_GEN_P201",201.00,17.00,18.00,"AR",35.46,-93.80,"1","EC",162.00,9074.00,0.18,0.90,0.68,111.14,3.10,,"GEN",
2114.00,"L L Wilkins","CAP_GEN_P2059",2059.00,6.00,17.00,"MS",34.18,-90.56,"6","EC",49.50,16556.00,0.00,0.90,0.38,9999.00,9999.00,,"GEN",
2121.00,"Yazoo","CAP_GEN_P2067",2067.00,6.00,17.00,"MS",32.84,-90.42,"2","EC",18.60,23523.00,1.0e-03,0.90,0.20,9999.00,9999.00,,"GEN",
2122.00,"Yazoo","CAP_GEN_P2067",2067.00,6.00,17.00,"MS",32.84,-90.42,"GT1","EC",14.70,23523.00,1.0e-03,0.90,0.16,9999.00,9999.00,,"GEN",
2124.00,"Moselle","CAP_GEN_P2070",2070.00,6.00,17.00,"MS",31.52,-89.30,"2","EC",118.00,8412.00,0.50,0.90,0.46,100.58,3.38,,"GEN",
2128.00,"Moselle","CAP_GEN_P2070",2070.00,6.00,17.00,"MS",31.52,-89.30,"GTG1","EC",150.00,8412.00,0.47,0.90,0.58,127.85,3.38,,"GEN",
2132.00,"Hawthorn","CAP_GEN_P2079",2079.00,18.00,9.00,"MO",39.13,-94.47,"5","B7",552.20,10407.00,0.54,0.90,4.64,7873.22,9999.00,,"GEN",
2134.00,"Hawthorn","CAP_GEN_P2079",2079.00,18.00,9.00,"MO",39.13,-94.47,"6","EC",120.70,9329.00,0.06,0.90,0.52,190.01,2.69,,"GEN",
2136.00,"Hawthorn","CAP_GEN_P2079",2079.00,18.00,9.00,"MO",39.13,-94.47,"9","EC",103.80,9329.00,0.06,0.90,0.45,134.13,2.69,,"GEN",
2154.00,"Labadie","CAP_GEN_P2103",2103.00,4.00,9.00,"MO",38.56,-90.83,"1","C1",593.00,10349.00,0.77,0.90,4.96,1052.63,6.83,,"GEN",
2155.00,"Labadie","CAP_GEN_P2103",2103.00,4.00,9.00,"MO",38.56,-90.83,"2","C1",593.00,10417.00,0.76,0.90,4.99,1079.62,6.80,,"GEN",
2156.00,"Labadie","CAP_GEN_P2103",2103.00,4.00,9.00,"MO",38.56,-90.83,"3","C1",593.00,10388.00,0.70,0.90,4.98,1064.08,6.79,,"GEN",
2157.00,"Labadie","CAP_GEN_P2103",2103.00,4.00,9.00,"MO",38.56,-90.83,"4","C1",593.00,10389.00,0.75,0.90,4.98,1079.15,6.76,,"GEN",
2159.00,"Meramec","CAP_GEN_P2104",2104.00,4.00,9.00,"MO",38.40,-90.33,"3","C1",220.00,12367.00,0.50,0.90,2.20,633.49,8.55,,"GEN",
2160.00,"Meramec","CAP_GEN_P2104",2104.00,4.00,9.00,"MO",38.40,-90.33,"4","C1",320.00,12291.00,0.50,0.90,3.18,777.87,7.80,,"GEN",
2164.00,"Sioux","CAP_GEN_P2107",2107.00,4.00,9.00,"MO",38.91,-90.29,"1","C4",487.00,11532.00,0.50,0.90,4.54,897.86,7.30,,"GEN",
2166.00,"Sioux","CAP_GEN_P2107",2107.00,4.00,9.00,"MO",38.91,-90.29,"2","C4",487.00,11664.00,0.50,0.90,4.59,897.80,7.30,,"GEN",
2252.00,"New Madrid","CAP_GEN_P2167",2167.00,4.00,9.00,"MO",36.51,-89.56,"1","C1",575.00,9936.00,0.62,0.90,4.62,1072.90,6.77,,"GEN",
2253.00,"New Madrid","CAP_GEN_P2167",2167.00,4.00,9.00,"MO",36.51,-89.56,"2","C1",571.00,9880.00,0.70,0.90,4.56,1051.02,6.93,,"GEN",
2428.00,"Schiller","CAP_GEN_P2367",2367.00,7.00,1.00,"NH",43.09,-70.78,"6","C1",47.90,18084.00,0.50,0.90,0.70,136.71,10.00,,"GEN",
2444.00,"Gilbert","CAP_GEN_P2393",2393.00,10.00,2.00,"NJ",40.56,-75.16,"4","EC",302.50,11977.00,7.0e-03,0.90,1.68,76.74,2.30,,"GEN",
2447.00,"Bergen Generating St","CAP_GEN_P2398",2398.00,10.00,2.00,"NJ",40.83,-74.02,"1101","EC",1245.00,7727.00,0.16,0.90,4.47,115.09,2.19,,"GEN",
2460.00,"PSEG Linden Generati","CAP_GEN_P2406",2406.00,10.00,2.00,"NJ",40.62,-74.20,"1001","EC",1300.00,7436.00,0.30,0.90,4.49,284.21,2.15,,"GEN",
2473.00,"PSEG Sewaren Generat","CAP_GEN_P2411",2411.00,10.00,2.00,"NJ",40.55,-74.24,"702","EC",538.00,7050.00,0.74,0.90,1.76,602.66,10.00,,"GEN",
2480.00,"Four Corners","CAP_GEN_P2442",2442.00,20.00,21.00,"NM",36.69,-108.48,"4","B5",770.00,9862.00,0.57,0.90,6.14,1162.67,6.55,,"GEN",
2485.00,"Four Corners","CAP_GEN_P2442",2442.00,20.00,21.00,"NM",36.69,-108.48,"5","B5",770.00,9786.00,0.56,0.90,6.09,1460.89,7.42,,"GEN",
2496.00,"San Juan","CAP_GEN_P2451",2451.00,20.00,21.00,"NM",36.80,-108.43,"1","B3",340.00,11426.00,0.64,0.90,3.14,773.94,8.00,,"GEN",
2509.00,"San Juan","CAP_GEN_P2451",2451.00,20.00,21.00,"NM",36.80,-108.43,"4","B3",506.99,11198.00,0.68,0.90,4.59,968.08,7.08,,"GEN",
2553.00,"Ravenswood","CAP_GEN_P2500",2500.00,8.00,2.00,"NY",40.75,-73.94,"4","EC",240.10,7419.00,0.65,0.90,0.82,198.74,2.95,,"GEN",
2584.00,"Bethlehem Energy Cen","CAP_GEN_P2539",2539.00,9.00,2.00,"NY",42.59,-73.76,"7","EC",815.50,7050.00,0.67,0.90,2.67,165.12,2.29,,"GEN",
2597.00,"Dunkirk Generating P","CAP_GEN_P2554",2554.00,9.00,2.00,"NY",42.49,-79.34,"1","B7",75.00,13888.00,0.50,0.90,0.84,335.23,11.65,,"GEN",
2603.00,"Dunkirk Generating P","CAP_GEN_P2554",2554.00,9.00,2.00,"NY",42.49,-79.34,"3","B7",185.00,11140.00,0.50,0.90,1.66,7873.22,9999.00,,"GEN",
2606.00,"Dunkirk Generating P","CAP_GEN_P2554",2554.00,9.00,2.00,"NY",42.49,-79.34,"ST4","B7",185.00,11140.00,0.50,0.90,1.66,7873.22,9999.00,,"GEN",
32.00,"E C Gaston","CAP_GEN_P26",26.00,15.00,17.00,"AL",33.24,-86.45,"5","B5",832.00,10442.00,0.50,0.90,7.02,1557.26,7.22,,"GEN",
225.00,"Dynegy Moss Landing","CAP_GEN_P260",260.00,21.00,23.00,"CA",36.80,-121.78,"CT1B","EC",1020.00,7050.00,0.49,0.90,3.34,156.47,2.09,,"GEN",
2712.00,"Asheville","CAP_GEN_P2706",2706.00,14.00,13.00,"NC",35.47,-82.54,"CT5","EC",306.00,7050.00,0.73,0.90,1.00,390.88,10.00,,"GEN",
2814.00,"R M Heskett","CAP_GEN_P2790",2790.00,3.00,7.00,"ND",46.86,-100.88,"1","C1",29.50,13919.00,0.50,0.90,0.33,94.01,10.00,,"GEN",
