PLANT_NAME,EMM_REGION,PLANT_CODE,STATE,LAT,LON,UID,IGRP,SUM_CAP,HEATRATE,CF,FuelRegion,GROUP,CCSROV,CCSF,CCSV,CCSHR,old22emm
Fairless Energy Cent,10,55298,PA,74.741,-40.148,CT2B,6676,189,7179,0.655,99,Gas,608.6,0,2.61,8417.5,9
Fairless Energy Cent,10,55298,PA,74.741,-40.148,ST1,6676,258,7179,0.655,99,Gas,608.6,0,2.61,8417.5,9
Fairless Energy Cent,10,55298,PA,74.741,-40.148,ST2,6676,258,7179,0.655,99,Gas,602.1,0,2.59,8417.5,9
Channel Energy Cente,1,55299,TX,95.232,-29.719,CTG1,6677,185,10025,0.675,99,Gas,601.8,0,3.69,12617.5,1
Channel Energy Cente,1,55299,TX,95.232,-29.719,CTG2,6677,185,10025,0.675,99,Gas,601.8,0,3.69,12617.5,1
Channel Energy Cente,1,55299,TX,95.232,-29.719,CTG3,6677,183,10025,0.675,99,Gas,1189.7,0,4.55,12617.5,1
Channel Energy Cente,1,55299,TX,95.232,-29.719,ST-1,6677,215,10025,0.675,99,Gas,601.8,0,3.69,12617.5,1
Gila River Power Sta,20,55306,AZ,112.694,-32.975,CTG7,6680,146,7492,0.388,99,Gas,649.1,0,2.82,8851.1,19
Gila River Power Sta,20,55306,AZ,112.694,-32.975,CTG8,6680,146,7492,0.388,99,Gas,650,0,2.81,8851.1,19
Gila River Power Sta,20,55306,AZ,112.694,-32.975,ST12,6680,223,7492,0.388,99,Gas,649.1,0,2.82,8851.1,19
Fore River Generatin,7,55317,MA,70.966,-42.242,GT11,6681,228.8,7379,0.553,99,Gas,746.4,0,3.07,8693.8,5
Fore River Generatin,7,55317,MA,70.966,-42.242,GT12,6681,228.1,7379,0.553,99,Gas,746.4,0,3.07,8693.8,5
Fore River Generatin,7,55317,MA,70.966,-42.242,ST15,6681,269.1,7379,0.553,99,Gas,746.4,0,3.07,8693.8,5
Wise County Power LL,1,55320,TX,97.91,-33.058,GT1,6683,225,7398,0.639,99,Gas,762.7,0,3.05,8720.2,1
Wise County Power LL,1,55320,TX,97.91,-33.058,GT2,6683,225,7398,0.639,99,Gas,762.7,0,3.05,8720.2,1
Wise County Power LL,1,55320,TX,97.91,-33.058,ST1,6683,230,7398,0.639,99,Gas,762.7,0,3.05,8720.2,1
Chuck Lenzie Generat,20,55322,NV,114.922,-36.384,CTG1,6684,165,7188,0.625,99,Gas,646.6,0,2.68,8429.9,19
Chuck Lenzie Generat,20,55322,NV,114.922,-36.384,CTG2,6684,165,7188,0.625,99,Gas,652.2,0,2.67,8429.9,19
Chuck Lenzie Generat,20,55322,NV,114.922,-36.384,CTG3,6684,165,7188,0.625,99,Gas,646.6,0,2.68,8429.9,19
Chuck Lenzie Generat,20,55322,NV,114.922,-36.384,CTG4,6684,165,7188,0.625,99,Gas,652.2,0,2.67,8429.9,19
Chuck Lenzie Generat,20,55322,NV,114.922,-36.384,ST1,6684,255,7188,0.625,99,Gas,646.6,0,2.68,8429.9,19
Chuck Lenzie Generat,20,55322,NV,114.922,-36.384,ST2,6684,255,7188,0.625,99,Gas,652.2,0,2.67,8429.9,19
Baytown Energy Cente,1,55327,TX,94.902,-29.773,CTG1,6685,165,8621,0.559,99,Gas,756.6,0,3.32,10471.2,1
Baytown Energy Cente,1,55327,TX,94.902,-29.773,CTG2,6685,165,8621,0.559,99,Gas,756.6,0,3.32,10471.2,1
Baytown Energy Cente,1,55327,TX,94.902,-29.773,CTG3,6685,165,8621,0.559,99,Gas,756.6,0,3.32,10471.2,1
Baytown Energy Cente,1,55327,TX,94.902,-29.773,STG1,6685,275,8621,0.559,99,Gas,756.6,0,3.32,10471.2,1
Hermiston Power Part,23,55328,OR,119.313,-45.794,CTG1,6686,184,7160,0.55,99,Gas,603.4,0,2.58,8391.4,21
Hermiston Power Part,23,55328,OR,119.313,-45.794,CTG2,6686,184,7160,0.55,99,Gas,603.4,0,2.58,8391.4,21
Hermiston Power Part,23,55328,OR,119.313,-45.794,STG1,6686,247,7160,0.55,99,Gas,603.4,0,2.58,8391.4,21
Delta Energy Center,21,55333,CA,121.844,-38.017,CTG1,6688,176,7427,0.719,99,Gas,700.4,0,2.96,8760.5,20
Delta Energy Center,21,55333,CA,121.844,-38.017,CTG2,6688,165,7427,0.719,99,Gas,700.4,0,2.96,8760.5,20
Delta Energy Center,21,55333,CA,121.844,-38.017,CTG3,6688,165,7427,0.719,99,Gas,700.4,0,2.96,8760.5,20
Delta Energy Center,21,55333,CA,121.844,-38.017,STG1,6688,263.1,7427,0.719,99,Gas,700.4,0,2.96,8760.5,20
Holland Energy Facil,4,55334,IL,88.758,-39.223,CTG1,6689,145.4,7848,0.102,99,Gas,599.1,0,2.82,9352.3,13
Holland Energy Facil,4,55334,IL,88.758,-39.223,CTG2,6689,149.8,7848,0.102,99,Gas,599.1,0,2.82,9352.3,13
Holland Energy Facil,4,55334,IL,88.758,-39.223,STG1,6689,317.5,7848,0.102,99,Gas,599.1,0,2.82,9352.3,13
TalenEnergy Ironwood,10,55337,PA,76.366,-40.351,CT1,6690,218.7,7192,0.787,99,Gas,763.8,0,2.93,8435.4,9
TalenEnergy Ironwood,10,55337,PA,76.366,-40.351,CT2,6690,221.7,7192,0.787,99,Gas,763.8,0,2.93,8435.4,9
TalenEnergy Ironwood,10,55337,PA,76.366,-40.351,ST4,6690,219.7,7192,0.787,99,Gas,763.8,0,2.93,8435.4,9
Dell Power Station,6,55340,AR,90.025,-35.862,CTG1,6692,150,7775,0.079,99,Gas,734.9,0,3.2,9248.8,12
Dell Power Station,6,55340,AR,90.025,-35.862,CTG2,6692,151,7775,0.079,99,Gas,734.9,0,3.2,9248.8,12
Dell Power Station,6,55340,AR,90.025,-35.862,STG,6693,136,7775,0.079,99,Gas,734.9,0,3.2,9248.8,12
Luna Energy Facility,20,55343,NM,107.783,-32.299,CTG1,6695,150.501,7436,0.366,99,Gas,1895.5,0,8.2,8773.1,19
Luna Energy Facility,20,55343,NM,107.783,-32.299,CTG2,6695,150.501,7436,0.366,99,Gas,1895.5,0,8.2,8773.1,19
Luna Energy Facility,20,55343,NM,107.783,-32.299,STG1,6695,258,7436,0.366,99,Gas,1895.5,0,8.2,8773.1,19
Otay Mesa Generating,22,55345,CA,116.915,-32.581,42370,6696,152.8,7283,0.646,99,Gas,635.5,0,2.72,8560.9,20
Otay Mesa Generating,22,55345,CA,116.915,-32.581,42371,6696,152.8,7283,0.646,99,Gas,635.5,0,2.72,8560.9,20
Otay Mesa Generating,22,55345,CA,116.915,-32.581,42372,6696,265.4,7283,0.646,99,Gas,635.5,0,2.72,8560.9,20
Dresden Energy Facil,11,55350,OH,82.028,-40.093,1,6700,158.3,7050,0.576,99,Gas,729.9,0,2.63,8240.7,11
Dresden Energy Facil,11,55350,OH,82.028,-40.093,2,6700,158.3,7050,0.576,99,Gas,729.9,0,2.63,8240.7,11
Dresden Energy Facil,11,55350,OH,82.028,-40.093,3,6700,223.4,7050,0.576,99,Gas,729.9,0,2.63,8240.7,11
Brazos Valley Genera,1,55357,TX,95.624,-29.473,CTG1,6704,166,7093,0.523,99,Gas,646.8,0,2.65,8299.5,1
Brazos Valley Genera,1,55357,TX,95.624,-29.473,CTG2,6704,166,7093,0.523,99,Gas,646.8,0,2.65,8299.5,1
Brazos Valley Genera,1,55357,TX,95.624,-29.473,STG1,6704,193,7093,0.523,99,Gas,646.8,0,2.65,8299.5,1
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,CT1,6705,163.7,7469,0.544,99,Gas,833.2,0,3.14,8819,12
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,CT2,6705,163.7,7469,0.544,99,Gas,828.8,0,3.15,8819,12
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,CT3,6705,163.7,7469,0.544,99,Gas,831,0,3.15,8819,12
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,CT4,6705,163.7,7469,0.544,99,Gas,826.9,0,3.15,8819,12
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,ST1,6705,131.3,7469,0.544,99,Gas,833.2,0,3.14,8819,12
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,ST2,6705,131.3,7469,0.544,99,Gas,828.8,0,3.15,8819,12
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,ST3,6705,131.3,7469,0.544,99,Gas,831,0,3.15,8819,12
Cottonwood Energy Pr,6,55358,TX,93.735,-30.259,ST4,6705,131.3,7469,0.544,99,Gas,826.9,0,3.15,8819,12
Sugar Creek Power,4,55364,IN,87.511,-39.393,CT01,6707,164.4,7050,0.516,99,Gas,643.9,0,2.63,8240.7,11
Sugar Creek Power,4,55364,IN,87.511,-39.393,CT02,6707,166.6,7050,0.516,99,Gas,643.9,0,2.63,8240.7,11
Sugar Creek Power,4,55364,IN,87.511,-39.393,ST1,6707,218,7050,0.516,99,Gas,643.9,0,2.63,8240.7,11
Harquahala Generatin,20,55372,AZ,113.113,-33.476,CTG1,6712,227.4,7204,0.137,99,Gas,744.2,0,2.99,8451.9,19
Harquahala Generatin,20,55372,AZ,113.113,-33.476,CTG2,6712,229,7204,0.137,99,Gas,744.2,0,2.99,8451.9,19
Harquahala Generatin,20,55372,AZ,113.113,-33.476,CTG3,6712,221.9,7204,0.137,99,Gas,753.5,0,3.02,8451.9,19
Harquahala Generatin,20,55372,AZ,113.113,-33.476,STG1,6712,113.3,7204,0.137,99,Gas,744.2,0,2.99,8451.9,19
Harquahala Generatin,20,55372,AZ,113.113,-33.476,STG2,6712,114.9,7204,0.137,99,Gas,744.2,0,2.99,8451.9,19
Harquahala Generatin,20,55372,AZ,113.113,-33.476,STG3,6712,111.5,7204,0.137,99,Gas,753.5,0,3.02,8451.9,19
Union Power Partners,6,55380,AR,92.589,-33.296,CTG1,6716,145,7338,0.421,99,Gas,724.1,0,2.66,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,CTG2,6716,145,7338,0.421,99,Gas,726.1,0,2.66,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,CTG3,6716,145,7338,0.421,99,Gas,717.1,0,2.67,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,CTG4,6716,145,7338,0.421,99,Gas,712.9,0,2.68,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,CTG5,6716,145,7338,0.421,99,Gas,717.1,0,2.67,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,CTG6,6716,145,7338,0.421,99,Gas,712.9,0,2.68,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,CTG7,6716,145,7338,0.421,99,Gas,726.1,0,2.66,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,CTG8,6716,145,7338,0.421,99,Gas,724.1,0,2.66,8637,12
Union Power Partners,6,55380,AR,92.589,-33.296,STG1,6716,215,7338,0.421,99,Gas,724.1,0,2.66,8637,12
