KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N
69,1004721,36.022505,-83.834408,TN,South,"""East South Central""",6,1,16,Dry,1,0.80045847,2067.870062,472904,1,1,1,1,1,0.95,0.05,0,0,0,0,0,0,0,756.5454545,75.52849029,75.80463698,384522.5101,10131.42138,5171.221969,96.61100151,2.650859032,0
70,1002530,39.563527,-112.197061,UT,West,"""Mountain""",8,5,20,Wet,4,0.731687812,2188.057326,622084,1,1,1,1,1,0.34,0.49,0.17,0,0,0,0,0,0,860.0727273,77.44728972,77.98450167,393505.529,10368.10649,5292.02942,111.7479431,2.820690473,0
71,1003303,28.582265,-82.430829,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.777928306,1659.991915,655173.6,1,1,1,1,1,0.47,0,0.03,0,0,0.5,0,0,0,1242.327273,38.67468483,38.53870559,328583.2073,8657.529391,4418.926475,101.1773387,2.776152384,0
72,1003303,28.582265,-82.430829,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.777928306,980.1246321,323362.8,1,1,1,1,1,0.47,0,0.03,0,0,0.5,0,0,0,1059.163636,32.97264796,32.85671695,385405.8672,10154.69613,5183.10173,118.6741717,3.256238886,0
73,1005629,45.316951,-85.299349,MI,Midwest,"""East North Central""",3,1,5,Dry,1,0.74037857,3027.010624,1191830.3,1,1,1,1,1,0.03,0,0,0.92,0,0.03,0,0,0.03,1210.356596,65.79072745,64.74198762,484345.5159,12761.56373,6513.684131,185.1667641,5.080694553,0
74,1002517,38.415722,-85.749361,IN,Midwest,"""East North Central""",3,1,6,0,0,0.721666667,1520.004352,74060.1,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,322.194843,16.13640749,16.39680668,805101.3206,21212.85626,10827.34437,188.7911207,5.180141388,0
75,1002517,38.415722,-85.749361,IN,Midwest,"""East North Central""",3,1,6,Dry,1,0.721666667,1740.249644,369721.3,1,1,1,1,1,0.5,0,0,0,0,0.5,0,0,0,671.4194547,33.62654044,34.16918438,386344.9171,10179.43827,5195.730472,90.595417,2.485800537,0
76,1002517,38.415722,-85.749361,IN,Midwest,"""East North Central""",3,1,6,Dry,1,0.721666667,0,0,0,1,0,1,0,0.5,0,0,0,0,0.5,0,0,0,671.4194547,33.62654044,34.16918438,386344.9171,10179.43827,5195.730472,90.595417,2.485800537,0
77,1003643,34.779716,-112.083801,AZ,West,"""Mountain""",8,5,21,0,0,0.865232723,2098.040361,578669,1,1,1,1,1,0.93,0.03,0,0,0.03,0,0,0,0,986.0459625,34.06224426,33.69663609,415887.6691,10957.83241,5593.033944,132.3693599,3.341206844,0
78,1003643,34.779716,-112.083801,AZ,West,"""Mountain""",8,5,21,Dry,1,0.865232723,169.6121422,45379,1,1,0,1,1,0.93,0.03,0,0,0.03,0,0,0,0,986.0459625,34.06224426,33.69663609,415887.6691,10957.83241,5593.033944,132.3693599,3.341206844,0
