TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
H-B Process,6,38,200,0,0
H-B Process,6,39,200,0,0
H-B Process,6,40,200,0,0
H-B Process,6,41,200,0,0
H-B Process,6,42,200,0,0
H-B Process,6,43,200,0,0
H-B Process,6,44,200,0,0
H-B Process,6,45,200,0,0
H-B Process,6,46,200,0,0
H-B Process,6,47,200,0,0
H-B Process,6,48,200,0,0
H-B Process,6,49,200,0,0
H-B Process,6,50,200,0,0
H-B Process,6,51,200,0,0
H-B Process,6,52,200,0,0
H-B Process,6,53,200,0,0
H-B Process,6,54,200,0,0
H-B Process,6,55,200,0,0
H-B Process,6,56,200,0,0
H-B Process,6,57,200,0,0
H-B Process,6,58,200,0,0
H-B Process,6,59,200,0,0
H-B Process,6,60,200,0,0
H-B Process,6,61,200,0,0
H-B Process,7,1,200,0,0
H-B Process,7,2,200,0,0
H-B Process,7,3,200,0,0
H-B Process,7,4,200,0,0
H-B Process,7,5,200,0,0
H-B Process,7,6,200,0,0
H-B Process,7,7,200,0,0
H-B Process,7,8,200,0,0
H-B Process,7,9,200,0,0
H-B Process,7,10,200,0,0
H-B Process,7,11,200,0,0
H-B Process,7,12,200,0,0
H-B Process,7,13,200,0,0
H-B Process,7,14,200,0,0
H-B Process,7,15,200,0,0
H-B Process,7,16,200,0,0
H-B Process,7,17,200,0,0
H-B Process,7,18,200,0,0
H-B Process,7,19,200,0,0
H-B Process,7,20,200,0,0
H-B Process,7,21,200,0,0
H-B Process,7,22,200,0,0
H-B Process,7,23,200,0,0
H-B Process,7,24,200,0,0
H-B Process,7,25,200,0,0
H-B Process,7,26,200,0,0
H-B Process,7,27,200,0,0
H-B Process,7,28,200,0,0
H-B Process,7,29,200,0,0
H-B Process,7,30,200,0,0
H-B Process,7,31,200,0,0
H-B Process,7,32,200,0,0
H-B Process,7,33,200,0,0
H-B Process,7,34,200,0,0
H-B Process,7,35,200,0,0
H-B Process,7,36,200,0,0
H-B Process,7,37,200,0,0
H-B Process,7,38,200,0,0
H-B Process,7,39,200,0,0
H-B Process,7,40,200,0,0
H-B Process,7,41,200,0,0
H-B Process,7,42,200,0,0
H-B Process,7,43,200,0,0
H-B Process,7,44,200,0,0
H-B Process,7,45,200,0,0
H-B Process,7,46,200,0,0
H-B Process,7,47,200,0,0
H-B Process,7,48,200,0,0
H-B Process,7,49,200,0,0
H-B Process,7,50,200,0,0
H-B Process,7,51,200,0,0
H-B Process,7,52,200,0,0
H-B Process,7,53,200,0,0
H-B Process,7,54,200,0,0
H-B Process,7,55,200,0,0
H-B Process,7,56,200,0,0
H-B Process,7,57,200,0,0
H-B Process,7,58,200,0,0
H-B Process,7,59,200,0,0
H-B Process,7,60,200,0,0
H-B Process,7,61,200,0,0
H-B Process,8,1,200,0,0
H-B Process,8,2,200,0,0
H-B Process,8,3,200,0,0
H-B Process,8,4,200,0,0
H-B Process,8,5,200,0,0
H-B Process,8,6,200,0,0
H-B Process,8,7,200,0,0
H-B Process,8,8,200,0,0
H-B Process,8,9,200,0,0
H-B Process,8,10,200,0,0
H-B Process,8,11,200,0,0
H-B Process,8,12,200,0,0
H-B Process,8,13,200,0,0
H-B Process,8,14,200,0,0
H-B Process,8,15,200,0,0
H-B Process,8,16,200,0,0
H-B Process,8,17,200,0,0
H-B Process,8,18,200,0,0
H-B Process,8,19,200,0,0
H-B Process,8,20,200,0,0
H-B Process,8,21,200,0,0
H-B Process,8,22,200,0,0
H-B Process,8,23,200,0,0
H-B Process,8,24,200,0,0
H-B Process,8,25,200,0,0
H-B Process,8,26,200,0,0
H-B Process,8,27,200,0,0
H-B Process,8,28,200,0,0
H-B Process,8,29,200,0,0
H-B Process,8,30,200,0,0
H-B Process,8,31,200,0,0
H-B Process,8,32,200,0,0
H-B Process,8,33,200,0,0
H-B Process,8,34,200,0,0
H-B Process,8,35,200,0,0
H-B Process,8,36,200,0,0
H-B Process,8,37,200,0,0
H-B Process,8,38,200,0,0
H-B Process,8,39,200,0,0
H-B Process,8,40,200,0,0
H-B Process,8,41,200,0,0
H-B Process,8,42,200,0,0
H-B Process,8,43,200,0,0
H-B Process,8,44,200,0,0
H-B Process,8,45,200,0,0
H-B Process,8,46,200,0,0
H-B Process,8,47,200,0,0
H-B Process,8,48,200,0,0
H-B Process,8,49,200,0,0
H-B Process,8,50,200,0,0
H-B Process,8,51,200,0,0
H-B Process,8,52,200,0,0
H-B Process,8,53,200,0,0
H-B Process,8,54,200,0,0
H-B Process,8,55,200,0,0
H-B Process,8,56,200,0,0
H-B Process,8,57,200,0,0
H-B Process,8,58,200,0,0
H-B Process,8,59,200,0,0
H-B Process,8,60,200,0,0
H-B Process,8,61,200,0,0
H-B Process,9,1,200,0,0
H-B Process,9,2,200,0,0
H-B Process,9,3,200,0,0
H-B Process,9,4,200,0,0
H-B Process,9,5,200,0,0
H-B Process,9,6,200,0,0
H-B Process,9,7,200,0,0
H-B Process,9,8,200,0,0
H-B Process,9,9,200,0,0
H-B Process,9,10,200,0,0
H-B Process,9,11,200,0,0
H-B Process,9,12,200,0,0
H-B Process,9,13,200,0,0
H-B Process,9,14,200,0,0
H-B Process,9,15,200,0,0
H-B Process,9,16,200,0,0
H-B Process,9,17,200,0,0
H-B Process,9,18,200,0,0
H-B Process,9,19,200,0,0
H-B Process,9,20,200,0,0
H-B Process,9,21,200,0,0
H-B Process,9,22,200,0,0
H-B Process,9,23,200,0,0
H-B Process,9,24,200,0,0
H-B Process,9,25,200,0,0
H-B Process,9,26,200,0,0
H-B Process,9,27,200,0,0
H-B Process,9,28,200,0,0
H-B Process,9,29,200,0,0
H-B Process,9,30,200,0,0
H-B Process,9,31,200,0,0
H-B Process,9,32,200,0,0
H-B Process,9,33,200,0,0
H-B Process,9,34,200,0,0
H-B Process,9,35,200,0,0
H-B Process,9,36,200,0,0
H-B Process,9,37,200,0,0
H-B Process,9,38,200,0,0
H-B Process,9,39,200,0,0
H-B Process,9,40,200,0,0
H-B Process,9,41,200,0,0
H-B Process,9,42,200,0,0
H-B Process,9,43,200,0,0
H-B Process,9,44,200,0,0
H-B Process,9,45,200,0,0
H-B Process,9,46,200,0,0
H-B Process,9,47,200,0,0
H-B Process,9,48,200,0,0
H-B Process,9,49,200,0,0
H-B Process,9,50,200,0,0
H-B Process,9,51,200,0,0
H-B Process,9,52,200,0,0
H-B Process,9,53,200,0,0
H-B Process,9,54,200,0,0
H-B Process,9,55,200,0,0
H-B Process,9,56,200,0,0
H-B Process,9,57,200,0,0
H-B Process,9,58,200,0,0
H-B Process,9,59,200,0,0
H-B Process,9,60,200,0,0
H-B Process,9,61,200,0,0
