Policy,Tech,MNUMYR,Value
LCA_TECH,ATR_CCS,35,3
LCA_TECH,ATR_CCS,36,3
LCA_TECH,ATR_CCS,37,3
LCA_TECH,ATR_CCS,38,3
LCA_TECH,ATR_CCS,39,3
LCA_TECH,ATR_CCS,40,3
LCA_TECH,ATR_CCS,41,3
LCA_TECH,ATR_CCS,42,3
LCA_TECH,ATR_CCS,43,3
LCA_TECH,ATR_CCS,44,3
LCA_TECH,ATR_CCS,45,3
LCA_TECH,ATR_CCS,46,3
LCA_TECH,ATR_CCS,47,3
LCA_TECH,ATR_CCS,48,3
LCA_TECH,ATR_CCS,49,3
LCA_TECH,ATR_CCS,50,3
LCA_TECH,ATR_CCS,51,3
LCA_TECH,ATR_CCS,52,3
LCA_TECH,ATR_CCS,53,3
LCA_TECH,ATR_CCS,54,3
LCA_TECH,ATR_CCS,55,3
LCA_TECH,ATR_CCS,56,3
LCA_TECH,ATR_CCS,57,3
LCA_TECH,ATR_CCS,58,3
LCA_TECH,ATR_CCS,59,3
LCA_TECH,ATR_CCS,60,3
LCA_TECH,ATR_CCS,61,3
LCA_TECH,PYR_NG,1,0
LCA_TECH,PYR_NG,2,0
LCA_TECH,PYR_NG,3,0
LCA_TECH,PYR_NG,4,0
LCA_TECH,PYR_NG,5,0
LCA_TECH,PYR_NG,6,0
LCA_TECH,PYR_NG,7,0
LCA_TECH,PYR_NG,8,0
LCA_TECH,PYR_NG,9,0
LCA_TECH,PYR_NG,10,0
LCA_TECH,PYR_NG,11,0
LCA_TECH,PYR_NG,12,0
LCA_TECH,PYR_NG,13,0
LCA_TECH,PYR_NG,14,0
LCA_TECH,PYR_NG,15,0
LCA_TECH,PYR_NG,16,0
LCA_TECH,PYR_NG,17,0
LCA_TECH,PYR_NG,18,0
LCA_TECH,PYR_NG,19,0
LCA_TECH,PYR_NG,20,0
LCA_TECH,PYR_NG,21,0
LCA_TECH,PYR_NG,22,0
LCA_TECH,PYR_NG,23,0
LCA_TECH,PYR_NG,24,0
LCA_TECH,PYR_NG,25,0
LCA_TECH,PYR_NG,26,0
LCA_TECH,PYR_NG,27,0
LCA_TECH,PYR_NG,28,0
LCA_TECH,PYR_NG,29,0
LCA_TECH,PYR_NG,30,0
LCA_TECH,PYR_NG,31,0
LCA_TECH,PYR_NG,32,0
LCA_TECH,PYR_NG,33,0
LCA_TECH,PYR_NG,34,0
LCA_TECH,PYR_NG,35,0
LCA_TECH,PYR_NG,36,0
LCA_TECH,PYR_NG,37,0
LCA_TECH,PYR_NG,38,0
LCA_TECH,PYR_NG,39,0
LCA_TECH,PYR_NG,40,0
LCA_TECH,PYR_NG,41,0
LCA_TECH,PYR_NG,42,0
LCA_TECH,PYR_NG,43,0
LCA_TECH,PYR_NG,44,0
LCA_TECH,PYR_NG,45,0
LCA_TECH,PYR_NG,46,0
LCA_TECH,PYR_NG,47,0
LCA_TECH,PYR_NG,48,0
LCA_TECH,PYR_NG,49,0
LCA_TECH,PYR_NG,50,0
LCA_TECH,PYR_NG,51,0
LCA_TECH,PYR_NG,52,0
LCA_TECH,PYR_NG,53,0
LCA_TECH,PYR_NG,54,0
LCA_TECH,PYR_NG,55,0
LCA_TECH,PYR_NG,56,0
LCA_TECH,PYR_NG,57,0
LCA_TECH,PYR_NG,58,0
LCA_TECH,PYR_NG,59,0
LCA_TECH,PYR_NG,60,0
LCA_TECH,PYR_NG,61,0
LCA_TECH,SC,1,0
LCA_TECH,SC,2,0
LCA_TECH,SC,3,0
LCA_TECH,SC,4,0
LCA_TECH,SC,5,0
LCA_TECH,SC,6,0
LCA_TECH,SC,7,0
LCA_TECH,SC,8,0
LCA_TECH,SC,9,0
LCA_TECH,SC,10,0
LCA_TECH,SC,11,0
LCA_TECH,SC,12,0
LCA_TECH,SC,13,0
LCA_TECH,SC,14,0
LCA_TECH,SC,15,0
LCA_TECH,SC,16,0
LCA_TECH,SC,17,0
LCA_TECH,SC,18,0
LCA_TECH,SC,19,0
LCA_TECH,SC,20,0
LCA_TECH,SC,21,0
LCA_TECH,SC,22,0
LCA_TECH,SC,23,0
LCA_TECH,SC,24,0
LCA_TECH,SC,25,0
LCA_TECH,SC,26,0
LCA_TECH,SC,27,0
LCA_TECH,SC,28,0
LCA_TECH,SC,29,0
LCA_TECH,SC,30,0
LCA_TECH,SC,31,0
LCA_TECH,SC,32,0
LCA_TECH,SC,33,0
LCA_TECH,SC,34,0
LCA_TECH,SC,35,0
LCA_TECH,SC,36,0
LCA_TECH,SC,37,0
LCA_TECH,SC,38,0
LCA_TECH,SC,39,0
LCA_TECH,SC,40,0
LCA_TECH,SC,41,0
LCA_TECH,SC,42,0
LCA_TECH,SC,43,0
LCA_TECH,SC,44,0
LCA_TECH,SC,45,0
LCA_TECH,SC,46,0
LCA_TECH,SC,47,0
LCA_TECH,SC,48,0
LCA_TECH,SC,49,0
LCA_TECH,SC,50,0
LCA_TECH,SC,51,0
LCA_TECH,SC,52,0
LCA_TECH,SC,53,0
LCA_TECH,SC,54,0
