TECH,MNUMCR,MNUMYR,CAPAVAIL,CAPLAN,CAPNEW
Saline Cavern,6,45,100,0.2,0.1
Saline Cavern,6,46,100,0.2,0.1
Saline Cavern,6,47,100,0.2,0.1
Saline Cavern,6,48,100,0.2,0.1
Saline Cavern,6,49,100,0.2,0.1
Saline Cavern,6,50,100,0.2,0.1
Saline Cavern,6,51,100,0.2,0.1
Saline Cavern,6,52,100,0.2,0.1
Saline Cavern,6,53,100,0.2,0.1
Saline Cavern,6,54,100,0.2,0.1
Saline Cavern,6,55,100,0.2,0.1
Saline Cavern,6,56,100,0.2,0.1
Saline Cavern,6,57,100,0.2,0.1
Saline Cavern,6,58,100,0.2,0.1
Saline Cavern,6,59,100,0.2,0.1
Saline Cavern,6,60,100,0.2,0.1
Saline Cavern,6,61,100,0.2,0.1
Saline Cavern,7,1,100,0.2,0.1
Saline Cavern,7,2,100,0.2,0.1
Saline Cavern,7,3,100,0.2,0.1
Saline Cavern,7,4,100,0.2,0.1
Saline Cavern,7,5,100,0.2,0.1
Saline Cavern,7,6,100,0.2,0.1
Saline Cavern,7,7,100,0.2,0.1
Saline Cavern,7,8,100,0.2,0.1
Saline Cavern,7,9,100,0.2,0.1
Saline Cavern,7,10,100,0.2,0.1
Saline Cavern,7,11,100,0.2,0.1
Saline Cavern,7,12,100,0.2,0.1
Saline Cavern,7,13,100,0.2,0.1
Saline Cavern,7,14,100,0.2,0.1
Saline Cavern,7,15,100,0.2,0.1
Saline Cavern,7,16,100,0.2,0.1
Saline Cavern,7,17,100,0.2,0.1
Saline Cavern,7,18,100,0.2,0.1
Saline Cavern,7,19,100,0.2,0.1
Saline Cavern,7,20,100,0.2,0.1
Saline Cavern,7,21,100,0.2,0.1
Saline Cavern,7,22,100,0.2,0.1
Saline Cavern,7,23,100,0.2,0.1
Saline Cavern,7,24,100,0.2,0.1
Saline Cavern,7,25,100,0.2,0.1
Saline Cavern,7,26,100,0.2,0.1
Saline Cavern,7,27,100,0.2,0.1
Saline Cavern,7,28,100,0.2,0.1
Saline Cavern,7,29,100,0.2,0.1
Saline Cavern,7,30,100,0.2,0.1
Saline Cavern,7,31,100,0.2,0.1
Saline Cavern,7,32,100,0.2,0.1
Saline Cavern,7,33,100,0.2,0.1
Saline Cavern,7,34,100,0.2,0.1
Saline Cavern,7,35,100,0.2,0.1
Saline Cavern,7,36,100,0.2,0.1
Saline Cavern,7,37,100,0.2,0.1
Saline Cavern,7,38,100,0.2,0.1
Saline Cavern,7,39,100,0.2,0.1
Saline Cavern,7,40,100,0.2,0.1
Saline Cavern,7,41,100,0.2,0.1
Saline Cavern,7,42,100,0.2,0.1
Saline Cavern,7,43,100,0.2,0.1
Saline Cavern,7,44,100,0.2,0.1
Saline Cavern,7,45,100,0.2,0.1
Saline Cavern,7,46,100,0.2,0.1
Saline Cavern,7,47,100,0.2,0.1
Saline Cavern,7,48,100,0.2,0.1
Saline Cavern,7,49,100,0.2,0.1
Saline Cavern,7,50,100,0.2,0.1
Saline Cavern,7,51,100,0.2,0.1
Saline Cavern,7,52,100,0.2,0.1
Saline Cavern,7,53,100,0.2,0.1
Saline Cavern,7,54,100,0.2,0.1
Saline Cavern,7,55,100,0.2,0.1
Saline Cavern,7,56,100,0.2,0.1
Saline Cavern,7,57,100,0.2,0.1
Saline Cavern,7,58,100,0.2,0.1
Saline Cavern,7,59,100,0.2,0.1
Saline Cavern,7,60,100,0.2,0.1
Saline Cavern,7,61,100,0.2,0.1
Saline Cavern,8,1,100,0.2,0.1
Saline Cavern,8,2,100,0.2,0.1
Saline Cavern,8,3,100,0.2,0.1
Saline Cavern,8,4,100,0.2,0.1
Saline Cavern,8,5,100,0.2,0.1
Saline Cavern,8,6,100,0.2,0.1
Saline Cavern,8,7,100,0.2,0.1
Saline Cavern,8,8,100,0.2,0.1
