KILN_ID,FACILITY_ID,LATITUDE,LONGITUDE,STATE,CENSUS_REGION,CENSUS_DIVISION,CENSUS_DIV_NEMS,OGSM_RG,EMM_FR,Wet/Dry Kiln,Kiln Tech,CAP_FACTOR,LB_CO2/T_CLINKER,TOTAL_CO2_EMISSIONS,flag_CO2,flag_clinkerCAP,flag_ClinkerPerCO2,flag_notPR,flag_nofuel,coal,natural gas,tires,petroleum coke,coke,distillate oil,biomass,ag products,other,CLINKER_CAPACITY_kT_YR,CCS Retrofit Costs [2011$/ton clinker],CO2 Sales Price to EOR [$/tonne],Total CO2 Capture Retrofit TOC [2011$/kT],Total Annual Fixed O&M Cost [2011$/kT],Total Annual Variable O&M Cost [2011$/kT @ Operating CF],Total Parasitic Retrofit Load [MW/kT],Total Natural Gas Requirement [GJ/kT],CCS Y/N,ID
42,1005302,39.616615,-86.868632,IN,Midwest,"""East North Central""",3,1,6,0,0,0.789777059,2626.341165,1045986,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1456.81497,67.92173878,67.16293702,306144.5448,8066.314212,4117.161816,102.4985579,2.812404631,0,1005302_1
43,1003770,33.242778,-80.442222,SC,South,"""South Atlantic""",5,1,12,Dry,1,0.915238363,1314.469663,308252.1,1,1,1,1,1,0.03,0.93,0,0,0,0,0,0,0.03,757.7836055,73.63243222,73.65060777,391140.4686,10305.79174,5260.223084,102.4985579,2.812404631,0,1003770_1
44,1005458,29.690671,-82.582134,FL,South,"""South Atlantic""",5,2,15,Dry,1,0.917962713,1753.552706,530079,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,519.2678234,40.33323941,40.16046392,329555.5138,8683.147777,4432.002465,102.4985579,2.812404632,0,1005458_1
45,1005458,29.690671,-82.582134,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.917962713,1962.899615,395982,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,677.3058566,30.92215021,30.78968901,329555.5138,8683.147776,4432.002465,102.498558,2.812404631,0,1005458_2
46,1002102,30.0536,-97.8572,TX,South,"""West South Central""",7,2,18,Dry,3,0.72355594,2370.048126,1030525,1,1,1,1,1,0.02,0.02,0.02,0.43,0,0,0.5,0,0.02,1470.995514,59.85828578,58.00239833,315552.5035,8314.195656,4243.684038,111.4196811,2.812404632,0,1002102_1
47,1003883,28.760864,-82.025353,FL,South,"""South Atlantic""",5,2,15,Dry,3,0.90913204,1455.171494,503212.4,1,1,1,1,1,0.56,0.02,0.36,0,0,0.02,0,0,0.03,769.1493362,78.27166199,78.92103519,388960.4688,10248.35298,5230.905522,102.4985579,2.812404631,0,1003883_1
48,1005331,32.4152,-83.6333,GA,South,"""South Atlantic""",5,1,14,Dry,3,0.854756528,1410.424802,506383.9,1,1,1,1,1,0.02,0.92,0.02,0,0,0,0.02,0.02,0,608.0855199,77.63744242,78.20052589,424849.9712,11193.97167,5713.562787,102.4985579,2.812404631,0,1005331_1
49,1002204,34.76754,-96.69652,OK,South,"""West South Central""",7,3,18,Dry,1,0.975096688,2695.356503,443214,1,1,1,1,1,0.47,0.03,0.5,0,0,0,0,0,0,536.607173,76.81593542,77.26724747,459529.7683,12107.71697,6179.951422,111.419681,2.812404631,0,1002204_1
50,1005662,34.437557,-116.891034,CA,West,"""Pacific""",9,6,23,Dry,3,0.802211939,2327.656524,1108335.7,1,1,1,1,1,0.03,0.03,0.45,0,0,0,0.5,0,0,1673.971077,78.9211679,79.65891065,300751.9138,7924.228856,4044.639424,111.419681,2.81240463,0,1005662_1
51,1002049,31.481987,-97.240773,TX,South,"""West South Central""",7,2,18,0,0,0.717882382,3091.795039,124030.6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,150.121265,110.0792003,115.0561978,740759.9372,19517.58576,9962.054132,111.419681,2.812404631,0,1002049_1
