Composite table:
    i_MarketPriceCode  i_CensusDivision  i_NEMSYear    HMMBLK_PHMM(i_MarketPriceCode,i_CensusDivision,i_NEMSYear)
    4                                 3  36                                                                  2.09
    4                                 3  37                                                                  2.09
    4                                 3  38                                                                  2.10
    4                                 3  39                                                                  2.10
    4                                 3  40                                                                  2.11
    4                                 3  41                                                                  2.11
    4                                 3  42                                                                  9.67
    4                                 4  34                                                                 76.32
    4                                 4  35                                                                 76.32
    4                                 4  36                                                                  2.09
    4                                 4  37                                                                  2.09
    4                                 4  38                                                                  2.10
    4                                 4  39                                                                  2.10
    4                                 4  40                                                                  2.11
    4                                 4  41                                                                  2.11
    4                                 4  42                                                                  9.67
    4                                 5  34                                                                 76.32
    4                                 5  35                                                                  2.08
    4                                 5  36                                                                  2.09
    4                                 5  37                                                                  2.09
    4                                 5  38                                                                  2.10
    4                                 5  39                                                                  2.10
    4                                 5  40                                                                  2.11
    4                                 5  41                                                                  2.11
    4                                 5  42                                                                  9.50
    4                                 6  34                                                                 76.32
    4                                 6  35                                                                  2.08
    4                                 6  36                                                                  2.09
    4                                 6  37                                                                  2.09
    4                                 6  38                                                                  2.10
    4                                 6  39                                                                  2.10
    4                                 6  40                                                                  2.11
    4                                 6  41                                                                  2.11
    4                                 6  42                                                                  9.50
    4                                 7  34                                                                 76.32
    4                                 7  35                                                                 76.32
    4                                 7  36                                                                  2.10
    4                                 7  37                                                                  2.09
    4                                 7  38                                                                  2.10
    4                                 7  39                                                                  2.10
    4                                 7  40                                                                  2.11
    4                                 7  41                                                                  2.11
    4                                 7  42                                                                  9.67
    4                                 8  34                                                                 76.32
    4                                 8  35                                                                  2.08
    4                                 8  36                                                                  2.09
    4                                 8  37                                                                  2.09
    4                                 8  38                                                                  2.10
    4                                 8  39                                                                  2.10
    4                                 8  40                                                                  2.11
    4                                 8  41                                                                  2.11
    4                                 8  42                                                                  9.67
    4                                 9  34                                                                 76.32
    4                                 9  35                                                                  2.08
    4                                 9  36                                                                  2.09
    4                                 9  37                                                                  2.09
    4                                 9  38                                                                  2.10
    4                                 9  39                                                                  2.10
    4                                 9  40                                                                  2.11
    4                                 9  41                                                                  2.11
    4                                 9  42                                                                 11.52
    4                                10  34                                                                 76.32
    4                                10  35                                                                  4.86
    4                                10  36                                                                  4.93
    4                                10  37                                                                  5.00
    4                                10  38                                                                  5.08
    4                                10  39                                                                  5.16
    4                                10  40                                                                  5.25
    4                                10  41                                                                  5.32
    4                                10  42                                                                  5.41
    4                                11  35                                                                 76.32
    4                                11  36                                                                 76.32
    4                                11  37                                                                  2.09
    4                                11  38                                                                  2.10
    4                                11  39                                                                  2.10
    4                                11  40                                                                  2.50
    4                                11  41                                                                  2.11
    4                                11  42                                                                  9.92
    5                                 1  34                                                                 76.32
    5                                 1  35                                                                 76.32
    5                                 1  36                                                                 76.32
    5                                 1  37                                                                  2.09
    5                                 1  38                                                                  2.10
    5                                 1  39                                                                  2.10
    5                                 1  40                                                                  2.50
    5                                 1  41                                                                  2.11
    5                                 1  42                                                                  9.92
    5                                 2  34                                                                 76.32
    5                                 2  35                                                                  2.08
    5                                 2  36                                                                  2.09
    5                                 2  37                                                                  2.09
    5                                 2  38                                                                  2.10
    5                                 2  39                                                                  2.10
    5                                 2  40                                                                  2.11
    5                                 2  41                                                                  2.11
    5                                 2  42                                                                  9.50
    5                                 3  34                                                                 76.32
    5                                 3  35                                                                 76.32
    5                                 3  36                                                                  2.09
    5                                 3  37                                                                  2.09
    5                                 3  38                                                                  2.10
    5                                 3  39                                                                  2.10
    5                                 3  40                                                                  2.11
    5                                 3  41                                                                  2.11
    5                                 3  42                                                                  9.67
    5                                 4  34                                                                 76.32
    5                                 4  35                                                                 76.32
    5                                 4  36                                                                  2.09
    5                                 4  37                                                                  2.09
    5                                 4  38                                                                  2.10
    5                                 4  39                                                                  2.10
